NOMBRE DEL JUEGO: Persona 5 Royal, PLATAFORMA: PS4, RANKING: 1, PUNTUACION: 9.75,
NOMBRE DEL JUEGO: Red Dead Redemption 2, PLATAFORMA: PS4, RANKING: 2, PUNTUACION: 9.59,
NOMBRE DEL JUEGO: Half-Life: Alyx, PLATAFORMA: PC, RANKING: 3, PUNTUACION: 9.58,
NOMBRE DEL JUEGO: Divinity: Original Sin II, PLATAFORMA: PS4, RANKING: 4, PUNTUACION: 9.54,
NOMBRE DEL JUEGO: Red Dead Redemption 2, PLATAFORMA: XBOne, RANKING: 5, PUNTUACION: 9.54,
NOMBRE DEL JUEGO: The Legend of Zelda: Breath of the Wild, PLATAFORMA: Switch, RANKING: 6, PUNTUACION: 9.54,
NOMBRE DEL JUEGO: Super Mario Odyssey, PLATAFORMA: Switch, RANKING: 7, PUNTUACION: 9.53,
NOMBRE DEL JUEGO: Super Smash Bros. Ultimate, PLATAFORMA: Switch, RANKING: 8, PUNTUACION: 9.5,
NOMBRE DEL JUEGO: The Legend of Zelda: Ocarina of Time 3D, PLATAFORMA: 3DS, RANKING: 9, PUNTUACION: 9.49,
NOMBRE DEL JUEGO: Persona 4 Golden, PLATAFORMA: PSVITA, RANKING: 10, PUNTUACION: 9.46,
NOMBRE DEL JUEGO: Forza Horizon 4, PLATAFORMA: XBOne, RANKING: 11, PUNTUACION: 9.46,
NOMBRE DEL JUEGO: The Last of Us Remasterizado, PLATAFORMA: PS4, RANKING: 12, PUNTUACION: 9.45,
NOMBRE DEL JUEGO: Persona 5, PLATAFORMA: PS4, RANKING: 13, PUNTUACION: 9.44,
NOMBRE DEL JUEGO: Grand Theft Auto V, PLATAFORMA: PS4, RANKING: 14, PUNTUACION: 9.43,
NOMBRE DEL JUEGO: Portal 2, PLATAFORMA: PC, RANKING: 15, PUNTUACION: 9.42,
NOMBRE DEL JUEGO: God of War, PLATAFORMA: PS4, RANKING: 16, PUNTUACION: 9.41,
NOMBRE DEL JUEGO: StarCraft II: Wings of Liberty, PLATAFORMA: PC, RANKING: 17, PUNTUACION: 9.4,
NOMBRE DEL JUEGO: Half-Life 2, PLATAFORMA: PC, RANKING: 18, PUNTUACION: 9.39,
NOMBRE DEL JUEGO: The Elder Scrolls V: Skyrim, PLATAFORMA: PC, RANKING: 19, PUNTUACION: 9.39,
NOMBRE DEL JUEGO: Divinity: Original Sin II, PLATAFORMA: PC, RANKING: 20, PUNTUACION: 9.39,
NOMBRE DEL JUEGO: BioShock, PLATAFORMA: PC, RANKING: 21, PUNTUACION: 9.38,
NOMBRE DEL JUEGO: Grand Theft Auto V, PLATAFORMA: XBOne, RANKING: 22, PUNTUACION: 9.38,
NOMBRE DEL JUEGO: Super Mario Bros. 3 CV, PLATAFORMA: 3DS, RANKING: 23, PUNTUACION: 9.37,
NOMBRE DEL JUEGO: Sekiro: Shadows Die Twice, PLATAFORMA: XBOne, RANKING: 24, PUNTUACION: 9.37,
NOMBRE DEL JUEGO: Grand Theft Auto V, PLATAFORMA: PC, RANKING: 25, PUNTUACION: 9.36,
NOMBRE DEL JUEGO: The Witcher 3: Wild Hunt, PLATAFORMA: PC, RANKING: 26, PUNTUACION: 9.35,
NOMBRE DEL JUEGO: Divinity: Original Sin II, PLATAFORMA: XBOne, RANKING: 27, PUNTUACION: 9.35,
NOMBRE DEL JUEGO: Mass Effect 2, PLATAFORMA: PC, RANKING: 28, PUNTUACION: 9.34,
NOMBRE DEL JUEGO: Uncharted 4: El Desenlace del Ladrón, PLATAFORMA: PS4, RANKING: 29, PUNTUACION: 9.34,
NOMBRE DEL JUEGO: The Last of Us Parte II, PLATAFORMA: PS4, RANKING: 30, PUNTUACION: 9.33,
NOMBRE DEL JUEGO: Undertale, PLATAFORMA: PS4, RANKING: 31, PUNTUACION: 9.32,
NOMBRE DEL JUEGO: Ori and the Will of the Wisps, PLATAFORMA: XBOne, RANKING: 32, PUNTUACION: 9.32,
NOMBRE DEL JUEGO: The Witcher 3: Wild Hunt, PLATAFORMA: XBOne, RANKING: 33, PUNTUACION: 9.3,
NOMBRE DEL JUEGO: Undertale, PLATAFORMA: PC, RANKING: 34, PUNTUACION: 9.29,
NOMBRE DEL JUEGO: Fire Emblem: Awakening, PLATAFORMA: 3DS, RANKING: 35, PUNTUACION: 9.29,
NOMBRE DEL JUEGO: Astro Bot Rescue Mission, PLATAFORMA: PS4, RANKING: 36, PUNTUACION: 9.29,
NOMBRE DEL JUEGO: Operation Flashpoint, PLATAFORMA: PC, RANKING: 37, PUNTUACION: 9.28,
NOMBRE DEL JUEGO: Grand Theft Auto: San Andreas, PLATAFORMA: PC, RANKING: 38, PUNTUACION: 9.28,
NOMBRE DEL JUEGO: The Witcher 3: Wild Hunt, PLATAFORMA: PS4, RANKING: 39, PUNTUACION: 9.27,
NOMBRE DEL JUEGO: Ori and the Blind Forest: Definitive Edition, PLATAFORMA: XBOne, RANKING: 40, PUNTUACION: 9.27,
NOMBRE DEL JUEGO: Final Fantasy XIV: Shadowbringers, PLATAFORMA: PC, RANKING: 41, PUNTUACION: 9.25,
NOMBRE DEL JUEGO: Bloodborne, PLATAFORMA: PS4, RANKING: 42, PUNTUACION: 9.25,
NOMBRE DEL JUEGO: BioShock Infinite, PLATAFORMA: PC, RANKING: 43, PUNTUACION: 9.24,
NOMBRE DEL JUEGO: Forza Horizon 3, PLATAFORMA: XBOne, RANKING: 44, PUNTUACION: 9.24,
NOMBRE DEL JUEGO: Celeste, PLATAFORMA: XBOne, RANKING: 45, PUNTUACION: 9.24,
NOMBRE DEL JUEGO: Baldur's Gate 2, PLATAFORMA: PC, RANKING: 46, PUNTUACION: 9.23,
NOMBRE DEL JUEGO: Dark Souls III, PLATAFORMA: XBOne, RANKING: 47, PUNTUACION: 9.22,
NOMBRE DEL JUEGO: The Elder Scrolls IV: Oblivion, PLATAFORMA: PC, RANKING: 48, PUNTUACION: 9.21,
NOMBRE DEL JUEGO: Ori and the Blind Forest, PLATAFORMA: XBOne, RANKING: 49, PUNTUACION: 9.21,
NOMBRE DEL JUEGO: Fire Emblem: Three Houses, PLATAFORMA: Switch, RANKING: 50, PUNTUACION: 9.21,
NOMBRE DEL JUEGO: Odin Sphere Leifthrasir, PLATAFORMA: PSVITA, RANKING: 51, PUNTUACION: 9.2,
NOMBRE DEL JUEGO: Final Fantasy XIV: Shadowbringers, PLATAFORMA: PS4, RANKING: 52, PUNTUACION: 9.2,
NOMBRE DEL JUEGO: Victoria: Un Imperio bajo el Sol, PLATAFORMA: PC, RANKING: 53, PUNTUACION: 9.19,
NOMBRE DEL JUEGO: Civilization IV, PLATAFORMA: PC, RANKING: 54, PUNTUACION: 9.19,
NOMBRE DEL JUEGO: Forza Horizon 4, PLATAFORMA: PC, RANKING: 55, PUNTUACION: 9.19,
NOMBRE DEL JUEGO: Crysis, PLATAFORMA: PC, RANKING: 56, PUNTUACION: 9.18,
NOMBRE DEL JUEGO: Mass Effect, PLATAFORMA: PC, RANKING: 57, PUNTUACION: 9.18,
NOMBRE DEL JUEGO: Fallout 3, PLATAFORMA: PC, RANKING: 58, PUNTUACION: 9.17,
NOMBRE DEL JUEGO: The Legend of Zelda: Majora's Mask 3D, PLATAFORMA: 3DS, RANKING: 59, PUNTUACION: 9.17,
NOMBRE DEL JUEGO: Celeste, PLATAFORMA: PS4, RANKING: 60, PUNTUACION: 9.17,
NOMBRE DEL JUEGO: Monster Hunter World: Iceborne, PLATAFORMA: PS4, RANKING: 61, PUNTUACION: 9.17,
NOMBRE DEL JUEGO: Half-Life 2 Episode Two, PLATAFORMA: PC, RANKING: 62, PUNTUACION: 9.16,
NOMBRE DEL JUEGO: Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition, PLATAFORMA: Switch, RANKING: 63, PUNTUACION: 9.16,
NOMBRE DEL JUEGO: StarCraft II: Legacy of the Void, PLATAFORMA: PC, RANKING: 64, PUNTUACION: 9.15,
NOMBRE DEL JUEGO: Dark Souls II: Scholar of the First Sin, PLATAFORMA: XBOne, RANKING: 65, PUNTUACION: 9.15,
NOMBRE DEL JUEGO: Doom Eternal, PLATAFORMA: XBOne, RANKING: 66, PUNTUACION: 9.15,
NOMBRE DEL JUEGO: Mario Kart 8 Deluxe, PLATAFORMA: Switch, RANKING: 67, PUNTUACION: 9.15,
